viewKey,linkLabel,linkValue
admin-roles,Administration Menu,https://knowledge.kaltura.com/help/administration-pages
admin-roles,The Roles Tab,https://knowledge.kaltura.com/help/administration-pages#roles_tab
admin-roles,Create or Edit Custom Roles,https://knowledge.kaltura.com/help/administration-pages#create_custom_role
admin-roles,Role Management,https://knowledge.kaltura.com/help/administration-pages#role_management
admin-users,Administration Menu,https://knowledge.kaltura.com/help/administration-pages
admin-users,The Users Tab,https://knowledge.kaltura.com/help/administration-pages#users_tab
admin-users,Adding a KMC User,https://knowledge.kaltura.com/help/administration-pages#add_user
admin-users,Editing a User,https://knowledge.kaltura.com/help/administration-pages#edit_user
admin-users,Purchasing License for Additional Users,https://knowledge.kaltura.com/help/administration-pages#request
admin-multi-account,Multi Account Management,https://knowledge.kaltura.com/help/administration-pages#multi_account
admin-multi-account,Getting Started,https://knowledge.kaltura.com/help/administration-pages#getting_started
content-bulk-uploads,Bulk Upload Log Page,https://knowledge.kaltura.com/help/uploading-and-ingestion#bulk_upload_log_Page
content-bulk-uploads,Refining Options for Bulk Uploads,https://knowledge.kaltura.com/help/the-content-menu#refine_bulk
content-categories,Add a Category,https://knowledge.kaltura.com/help/managing-categories#add_category_name
content-categories,Search and Refine Categories,https://knowledge.kaltura.com/help/the-content-menu#searching_filtering
content-categories,Category Table Actions,https://knowledge.kaltura.com/help/managing-categories#cat_actions
content-drop-folders,What is a Drop Folder,https://knowledge.kaltura.com/help/uploading-and-ingestion#whatis_drop_folder
content-drop-folders,Drop Folder Table,https://knowledge.kaltura.com/help/uploading-and-ingestion#drop_folder_table
content-drop-folders,Drop Folder Statuses,https://knowledge.kaltura.com/help/uploading-and-ingestion#drop_folder_statuses
content-entries,Uploading and Ingestion,https://knowledge.kaltura.com/help/uploading-and-ingestion
content-entries,Upload Media,https://knowledge.kaltura.com/help/uploading-and-ingestion#upload_media
content-entries,The Entries Table,https://knowledge.kaltura.com/help/the-content-menu#entries_table
content-entries,Search and Filter Through Media,https://knowledge.kaltura.com/help/the-content-menu#searching_filtering
content-entries,Share and Embed,https://knowledge.kaltura.com/help/the-content-menu#share_embed
content-entries,Upload Control,https://knowledge.kaltura.com/help/the-content-menu#upload_control
content-entries,More (Bulk) Actions,https://knowledge.kaltura.com/help/the-content-menu#additional_actions
content-moderation,Moderate Content,https://knowledge.kaltura.com/help/moderating-content
content-moderation,Set Moderation Flags,https://knowledge.kaltura.com/help/moderating-content#setting_moderation_flags
content-moderation,Setting Moderation Options,https://knowledge.kaltura.com/help/moderating-content#set_mod_options
content-moderation,Apply Bulk Actions,https://knowledge.kaltura.com/help/moderating-content#applying_bulk_actions
content-playlists,The Playlists Tab,https://knowledge.kaltura.com/help/creating-and-configuring-playlists#playlists_tab
content-playlists,Create a Manual Playlist,https://knowledge.kaltura.com/help/creating-and-configuring-playlists#create_man_playlist
content-playlists,Create a Rule Based Playlist,https://knowledge.kaltura.com/help/creating-and-configuring-playlists#create_rule_playlist
content-playlists,Adding/Editing Metadata to a Playlist,https://knowledge.kaltura.com/help/creating-and-configuring-playlists#add_edit_metadata
content-playlists,Apply Bulk Actions to Playlists,https://knowledge.kaltura.com/help/creating-and-configuring-playlists#apply_bulk_actions
content-syndication,Content Syndication,https://knowledge.kaltura.com/help/content-distribution-and-syndication#content_syndication
content-syndication,Syndicating to a Standard MRSS Feed,https://knowledge.kaltura.com/help/content-distribution-and-syndication#syn_to_rss
content-syndication,Setting Up Syndication,https://knowledge.kaltura.com/help/content-distribution-and-syndication#setup_syn
content-uploads,Tracking Your Uploads,https://knowledge.kaltura.com/help/the-content-menu#upload_control
analytics-kava,,
analytics-live,Live Analytics,https://knowledge.kaltura.com/help/real-time-analytics
analytics-live,Live Content Dashboard Report,https://knowledge.kaltura.com/help/real-time-analytics-dashboard
analytics-live,Live Report v for Specific Entry ,https://knowledge.kaltura.com/help/real-time-analytics#accessing-the-real-time-home-page-and-dashboard
analytics-live,Export Analytics to CSV,https://knowledge.kaltura.com/help/working-with-the-real-time-dashboard#export
analytics,Analytics,https://knowledge.kaltura.com/help/kaltura-analytics
analytics,Audience Analytics,https://knowledge.kaltura.com/help/audience-analytics-kmcng
analytics,Contributors Analytics,https://knowledge.kaltura.com/help/contributors-analytics-kmc
analytics,Usage Analytics,https://knowledge.kaltura.com/help/usage-analytics
analytics,Entry Level Analytics,https://knowledge.kaltura.com/help/entry-level-analytics
analytics,User Analytics,https://knowledge.kaltura.com/help/user-analytics
settings-access-control,Access Control Overview,https://knowledge.kaltura.com/help/access-control
settings-access-control,Create an Access Profile,https://knowledge.kaltura.com/help/managing-access-profiles#create_access_profile
